,"Hong Kong (HKD)",,"Portugal (EUR)",,"Honduras (USD)",,"Paraguay (USD)",,"Croatia (HRK)",,"Hungary (HUF)",,"Qatar (QAR)",,"Indonesia (IDR)",,"Ireland (EUR)",,"Israel (ILS)",,"United Arab Emirates (AED)",,"Afghanistan (USD)",,"India (INR)",,"South Africa (ZAR)",,"Iraq (USD)",,"Iceland (USD)",,"Albania (USD)",,"Italy (EUR)",,"Armenia (USD)",,"Argentina (USD)",,"Austria (EUR)",,"Zambia (USD)",,"Australia (AUD)",,"Romania (RON)",,"Bosnia and Herzegovina (EUR)",,"Barbados (USD)",,"Serbia (EUR)",,"Belgium (EUR)",,"Russia (RUB)",,"Rwanda (USD)",,"Bulgaria (BGN)",,"Bahrain (USD)",,"Japan (JPY)",,"Bolivia (USD)",,"Saudi Arabia (SAR)",,"Brazil (BRL)",,"Sweden (SEK)",,"Singapore (SGD)",,"Slovenia (EUR)",,"Belarus (USD)",,"Slovakia (EUR)",,"Canada (CAD)",,"Congo, Democratic Republic of (USD)",,"El Salvador (USD)",,"Switzerland (CHF)",,"Cote D'Ivoire (USD)",,"South Korea (KRW)",,"Chile (CLP)",,"Cameroon (USD)",,"China (CNY)",,"Colombia (COP)",,"Costa Rica (USD)",,"Kazakhstan (KZT)",,"Thailand (THB)",,"Cyprus (EUR)",,"Czechia (CZK)",,"Tonga (USD)",,"Turkey (TRY)",,"Germany (EUR)",,"Taiwan (TWD)",,"Tanzania (TZS)",,"Denmark (DKK)",,"Lithuania (EUR)",,"Luxembourg (EUR)",,"Latvia (EUR)",,"Dominican Republic (USD)",,"Ukraine (USD)",,"Libya (USD)",,"Morocco (USD)",,"Moldova (USD)",,"Montenegro (EUR)",,"United States (USD)",,"Ecuador (USD)",,"Myanmar (USD)",,"Estonia (EUR)",,"Egypt (EGP)",,"Uruguay (USD)",,"Uzbekistan (USD)",,"Malta (EUR)",,"Maldives (USD)",,"Mexico (MXN)",,"Malaysia (MYR)",,"Spain (EUR)",,"Vietnam (VND)",,"Nigeria (NGN)",,"Nicaragua (USD)",,"Netherlands (EUR)",,"Vanuatu (USD)",,"Norway (NOK)",,"Finland (EUR)",,"Nauru (USD)",,"France (EUR)",,"New Zealand (NZD)",,"Gabon (USD)",,"United Kingdom (GBP)",,"Georgia (USD)",,"Greece (EUR)",,"Guatemala (USD)",,"Panama (USD)",,"Kosovo (EUR)",,"Peru (PEN)",,"Philippines (PHP)",,"Pakistan (PKR)",,"Poland (PLN)",
,"Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds"
Gratis,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Franja 1,"8.00","5.60","1.09","0.62","0.99","0.70","0.99","0.70","8.99","5.03","349","192","3.69","2.58","16000","10182","1.09","0.63","3.50","2.45","3.69","2.46","0.99","0.70","89.00","51.55","19.99","12.17","0.99","0.70","1.19","0.67","1.19","0.69","1.09","0.61","1.19","0.69","0.99","0.70","1.09","0.64","0.99","0.70","1.49","0.95","4.99","2.94","1.09","0.65","1.19","0.71","1.09","0.64","1.09","0.63","99.00","57.75","0.99","0.70","1.99","1.16","0.99","0.66","120","84","0.99","0.70","3.99","2.43","4.90","3.43","12.00","6.72","1.48","0.97","1.09","0.63","1.19","0.69","1.09","0.64","1.39","0.97","0.99","0.70","0.99","0.70","1.00","0.65","0.99","0.70","1200","764","890","524","0.99","0.70","6.00","4.12","4900.00","2882.35","0.99","0.70","399.00","279.30","29.00","20.30","1.09","0.64","25.00","14.46","0.99","0.70","8.99","4.93","1.09","0.66","33","21","2200.00","1540.00","9.00","5.04","1.09","0.63","1.09","0.65","1.09","0.63","0.99","0.70","0.99","0.70","0.99","0.70","0.99","0.70","1.19","0.69","0.89","0.62","0.99","0.70","0.99","0.70","0.99","0.70","1.09","0.64","16.99","11.89","0.99","0.67","1.19","0.72","1.09","0.65","0.99","0.70","25.00","15.09","3.90","2.58","1.09","0.63","22000","15400","350.00","245.00","0.99","0.70","1.09","0.63","0.99","0.70","11.00","6.16","1.09","0.62","0.99","0.70","1.09","0.63","1.69","1.03","0.99","0.70","0.99","0.57","0.99","0.70","1.09","0.62","0.99","0.70","0.99","0.70","1.09","0.65","3.50","2.45","49.00","34.30","150.00","105.00","4.99","2.84"
Franja 2,"15.00","10.50","2.29","1.30","1.99","1.40","1.99","1.40","16.99","9.51","699","385","7.29","5.10","35000","22273","2.29","1.32","6.90","4.83","7.29","4.86","1.99","1.40","179.00","103.68","39.99","24.34","1.99","1.40","2.49","1.41","2.49","1.45","2.29","1.29","2.49","1.45","1.99","1.40","2.29","1.34","1.99","1.40","2.99","1.90","9.99","5.88","2.29","1.37","2.49","1.48","2.29","1.34","2.29","1.32","179.00","104.42","1.99","1.40","4.49","2.62","1.99","1.33","250","175","1.99","1.40","7.99","4.86","10.90","7.63","25.00","14.00","2.98","1.95","2.29","1.31","2.49","1.45","2.29","1.34","2.79","1.95","1.99","1.40","1.99","1.40","2.00","1.30","1.99","1.40","2500","1591","1900","1118","1.99","1.40","12.00","8.23","8900.00","5235.29","1.99","1.40","799.00","559.30","59.00","41.30","2.29","1.35","49.00","28.35","1.99","1.40","18.99","10.42","2.29","1.38","70","45","4500.00","3150.00","17.00","9.52","2.29","1.32","2.29","1.37","2.29","1.32","1.99","1.40","1.99","1.40","1.99","1.40","1.99","1.40","2.49","1.45","1.79","1.25","1.99","1.40","1.99","1.40","1.99","1.40","2.29","1.34","32.99","23.09","1.99","1.35","2.49","1.52","2.29","1.36","1.99","1.40","49.00","29.57","7.90","5.22","2.29","1.32","45000","31500","700.00","490.00","1.99","1.40","2.29","1.32","1.99","1.40","22.00","12.32","2.29","1.29","1.99","1.40","2.29","1.32","3.49","2.12","1.99","1.40","1.99","1.15","1.99","1.40","2.29","1.29","1.99","1.40","1.99","1.40","2.29","1.36","6.90","4.83","99.00","69.30","300.00","210.00","8.99","5.12"
Franja 3,"23.00","16.10","3.49","1.99","2.99","2.10","2.99","2.10","24.99","13.99","1090","601","10.99","7.69","49000","31182","3.49","2.02","10.90","7.63","10.99","7.33","2.99","2.10","269.00","155.81","59.99","36.52","2.99","2.10","3.49","1.97","3.49","2.04","3.49","1.96","3.49","2.04","2.99","2.10","3.49","2.04","2.99","2.10","4.49","2.86","14.99","8.82","3.49","2.09","3.49","2.08","3.49","2.04","3.49","2.02","279.00","162.75","2.99","2.10","6.49","3.79","2.99","1.99","370","259","2.99","2.10","12.99","7.91","16.90","11.83","35.00","19.60","4.48","2.93","3.49","2.00","3.49","2.04","3.49","2.04","3.99","2.79","2.99","2.10","2.99","2.10","3.00","1.95","2.99","2.10","3900","2482","2500","1471","2.99","2.10","18.00","12.35","13900.00","8176.47","2.99","2.10","1190.00","833.00","89.00","62.30","3.49","2.05","79.00","45.70","2.99","2.10","27.99","15.36","3.49","2.11","100","65","6500.00","4550.00","25.00","14.00","3.49","2.02","3.49","2.09","3.49","2.02","2.99","2.10","2.99","2.10","2.99","2.10","2.99","2.10","3.49","2.04","2.79","1.95","2.99","2.10","2.99","2.10","2.99","2.10","3.49","2.04","49.99","34.99","2.99","2.03","3.49","2.12","3.49","2.07","2.99","2.10","75.00","45.26","12.90","8.52","3.49","2.02","69000","48300","1100.00","770.00","2.99","2.10","3.49","2.02","2.99","2.10","33.00","18.48","3.49","1.97","2.99","2.10","3.49","2.01","4.99","3.04","2.99","2.10","2.99","1.73","2.99","2.10","3.49","1.97","2.99","2.10","2.99","2.10","3.49","2.07","9.90","6.93","149.00","104.30","450.00","315.00","13.99","7.96"
Franja 4,"28.00","19.60","4.49","2.56","3.99","2.80","3.99","2.80","34.99","19.59","1490","821","14.99","10.49","65000","41364","4.49","2.60","13.90","9.73","14.99","9.99","3.99","2.80","349.00","202.15","79.99","48.69","3.99","2.80","4.99","2.82","4.99","2.91","4.49","2.53","4.99","2.91","3.99","2.80","4.49","2.62","3.99","2.80","5.99","3.81","19.99","11.76","4.49","2.69","4.99","2.97","4.49","2.62","4.49","2.60","379.00","221.08","3.99","2.80","8.49","4.95","3.99","2.66","490","343","3.99","2.80","17.99","10.95","22.90","16.03","50.00","28.00","5.98","3.91","4.49","2.58","4.99","2.91","4.49","2.62","5.49","3.84","3.99","2.80","3.99","2.80","4.00","2.60","3.99","2.80","4900","3118","3500","2059","3.99","2.80","25.00","17.15","17900.00","10529.41","3.99","2.80","1590.00","1113.00","119.00","83.30","4.49","2.64","99.00","57.27","3.99","2.80","36.99","20.30","4.49","2.71","130","84","8900.00","6230.00","35.00","19.60","4.49","2.60","4.49","2.69","4.49","2.60","3.99","2.80","3.99","2.80","3.99","2.80","3.99","2.80","4.99","2.91","3.49","2.44","3.99","2.80","3.99","2.80","3.99","2.80","4.49","2.62","64.99","45.49","3.99","2.70","4.99","3.04","4.49","2.66","3.99","2.80","99.00","59.74","16.90","11.16","4.49","2.60","89000","62300","1400.00","980.00","3.99","2.80","4.49","2.60","3.99","2.80","44.00","24.64","4.49","2.53","3.99","2.80","4.49","2.58","6.99","4.25","3.99","2.80","3.99","2.31","3.99","2.80","4.49","2.53","3.99","2.80","3.99","2.80","4.49","2.66","12.90","9.03","199.00","139.30","600.00","420.00","18.99","10.81"
Franja 5,"38.00","26.60","5.49","3.12","4.99","3.50","4.99","3.50","42.99","24.07","1790","987","17.99","12.59","79000","50273","5.49","3.18","17.90","12.53","17.99","11.99","4.99","3.50","449.00","260.07","99.99","60.86","4.99","3.50","5.99","3.38","5.99","3.49","5.49","3.09","5.99","3.49","4.99","3.50","5.49","3.20","4.99","3.50","7.99","5.08","24.99","14.70","5.49","3.28","5.99","3.57","5.49","3.20","5.49","3.18","449.00","261.92","4.99","3.50","10.99","6.41","4.99","3.33","610","427","4.99","3.50","19.99","12.17","27.90","19.53","59.00","33.04","6.98","4.57","5.49","3.15","5.99","3.49","5.49","3.20","6.99","4.89","4.99","3.50","4.99","3.50","5.00","3.25","4.99","3.50","5900","3755","3900","2294","4.99","3.50","30.00","20.58","22900.00","13470.59","4.99","3.50","1990.00","1393.00","149.00","104.30","5.49","3.23","129.00","74.63","4.99","3.50","46.99","25.78","5.49","3.31","170","110","10900.00","7630.00","45.00","25.20","5.49","3.18","5.49","3.28","5.49","3.18","4.99","3.50","4.99","3.50","4.99","3.50","4.99","3.50","5.99","3.49","4.49","3.14","4.99","3.50","4.99","3.50","4.99","3.50","5.49","3.20","79.99","55.99","4.99","3.38","5.99","3.65","5.49","3.26","4.99","3.50","129.00","77.84","19.90","13.14","5.49","3.18","109000","76300","1800.00","1260.00","4.99","3.50","5.49","3.18","4.99","3.50","55.00","30.80","5.49","3.10","4.99","3.50","5.49","3.16","8.99","5.47","4.99","3.50","4.99","2.89","4.99","3.50","5.49","3.10","4.99","3.50","4.99","3.50","5.49","3.26","16.90","11.83","249.00","174.30","750.00","525.00","23.99","13.65"
Franja 6,"48.00","33.60","6.99","3.98","5.99","4.20","5.99","4.20","49.99","27.99","2290","1262","20.99","14.69","99000","63000","6.99","4.04","19.90","13.93","20.99","13.99","5.99","4.20","549.00","317.99","119.99","73.04","5.99","4.20","6.99","3.95","6.99","4.08","6.99","3.94","6.99","4.08","5.99","4.20","6.99","4.08","5.99","4.20","9.99","6.36","29.99","17.64","6.99","4.18","6.99","4.16","6.99","4.08","6.99","4.04","549.00","320.25","5.99","4.20","12.99","7.58","5.99","3.99","730","511","5.99","4.20","24.99","15.21","34.90","24.43","69.00","38.64","8.98","5.87","6.99","4.01","6.99","4.08","6.99","4.08","8.49","5.94","5.99","4.20","5.99","4.20","6.00","3.90","5.99","4.20","7500","4773","4900","2882","5.99","4.20","40.00","27.44","27900.00","16411.76","5.99","4.20","2290.00","1603.00","179.00","125.30","6.99","4.11","149.00","86.20","5.99","4.20","54.99","30.17","6.99","4.22","190","123","12900.00","9030.00","49.00","27.44","6.99","4.04","6.99","4.18","6.99","4.04","5.99","4.20","5.99","4.20","5.99","4.20","5.99","4.20","6.99","4.08","5.49","3.84","5.99","4.20","5.99","4.20","5.99","4.20","6.99","4.08","99.99","69.99","5.99","4.06","6.99","4.25","6.99","4.15","5.99","4.20","149.00","89.91","24.90","16.44","6.99","4.04","129000","90300","2200.00","1540.00","5.99","4.20","6.99","4.04","5.99","4.20","65.00","36.40","6.99","3.95","5.99","4.20","6.99","4.02","9.99","6.08","5.99","4.20","5.99","3.47","5.99","4.20","6.99","3.95","5.99","4.20","5.99","4.20","6.99","4.15","19.90","13.93","299.00","209.30","900.00","630.00","27.99","15.93"
Franja 7,"53.00","37.10","7.99","4.55","6.99","4.90","6.99","4.90","59.99","33.59","2490","1372","24.99","17.49","109000","69364","7.99","4.62","25.90","18.13","24.99","16.66","6.99","4.90","599.00","346.95","129.99","79.12","6.99","4.90","7.99","4.51","7.99","4.66","7.99","4.50","7.99","4.66","6.99","4.90","7.99","4.66","6.99","4.90","10.99","6.99","34.99","20.58","7.99","4.78","7.99","4.76","7.99","4.66","7.99","4.62","649.00","378.58","6.99","4.90","14.99","8.74","6.99","4.66","860","602","6.99","4.90","29.99","18.25","39.90","27.93","85.00","47.60","9.98","6.53","7.99","4.58","7.99","4.66","7.99","4.66","9.99","6.99","6.99","4.90","6.99","4.90","7.00","4.55","6.99","4.90","8900","5664","5900","3471","6.99","4.90","45.00","30.87","29900.00","17588.24","6.99","4.90","2490.00","1743.00","199.00","139.30","7.99","4.70","179.00","103.55","6.99","4.90","64.99","35.66","7.99","4.82","230","149","14900.00","10430.00","59.00","33.04","7.99","4.62","7.99","4.78","7.99","4.62","6.99","4.90","6.99","4.90","6.99","4.90","6.99","4.90","7.99","4.66","6.49","4.54","6.99","4.90","6.99","4.90","6.99","4.90","7.99","4.66","119.99","83.99","6.99","4.74","7.99","4.86","7.99","4.74","6.99","4.90","179.00","108.02","29.90","19.75","7.99","4.62","149000","104300","2500.00","1750.00","6.99","4.90","7.99","4.62","6.99","4.90","75.00","42.00","7.99","4.51","6.99","4.90","7.99","4.59","11.99","7.30","6.99","4.90","6.99","4.05","6.99","4.90","7.99","4.51","6.99","4.90","6.99","4.90","7.99","4.74","22.90","16.03","349.00","244.30","1100.00","770.00","32.99","18.77"
Franja 8,"58.00","40.60","8.99","5.12","7.99","5.60","7.99","5.60","69.99","39.19","2990","1648","29.99","20.99","129000","82091","8.99","5.20","29.90","20.93","29.99","19.99","7.99","5.60","699.00","404.88","149.99","91.30","7.99","5.60","9.99","5.64","9.99","5.83","8.99","5.06","9.99","5.83","7.99","5.60","8.99","5.24","7.99","5.60","12.99","8.27","39.99","23.52","8.99","5.38","9.99","5.95","8.99","5.24","8.99","5.20","749.00","436.92","7.99","5.60","17.99","10.49","7.99","5.33","980","686","7.99","5.60","34.99","21.30","44.90","31.43","99.00","55.44","10.98","7.18","8.99","5.16","9.99","5.83","8.99","5.24","10.99","7.69","7.99","5.60","7.99","5.60","8.00","5.20","7.99","5.60","9900","6300","6900","4059","7.99","5.60","50.00","34.30","34900.00","20529.41","7.99","5.60","2990.00","2093.00","249.00","174.30","8.99","5.29","199.00","115.12","7.99","5.60","74.99","41.15","8.99","5.43","270","175","17900.00","12530.00","69.00","38.64","8.99","5.20","8.99","5.38","8.99","5.20","7.99","5.60","7.99","5.60","7.99","5.60","7.99","5.60","9.99","5.83","7.49","5.24","7.99","5.60","7.99","5.60","7.99","5.60","8.99","5.24","129.99","90.99","7.99","5.41","9.99","6.08","8.99","5.33","7.99","5.60","199.00","120.09","34.90","23.05","8.99","5.20","179000","125300","2900.00","2030.00","7.99","5.60","8.99","5.20","7.99","5.60","85.00","47.60","8.99","5.08","7.99","5.60","8.99","5.17","13.99","8.52","7.99","5.60","7.99","4.63","7.99","5.60","8.99","5.08","7.99","5.60","7.99","5.60","8.99","5.33","24.90","17.43","399.00","279.30","1200.00","840.00","37.99","21.62"
